#,B200_Module,B200_Operator,B200_Raw_Kernel,B200_Stream,B200_Avg_us,B200_Overlap_us,B200_Overlap_With,MI355X_Module,MI355X_Kernel,MI355X_Avg_us,Notes
1,EP_AR,EP_AR+residual+RMSNorm(fused),flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<...,27,26.7,25.1,"other:void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, 256, 16>(__nv(cross):25.1μs",,,,
2,Other,"other:void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, 256, 16>(__nv",fused_a_gemm_kernel<...>,stream 27 27_overlap,29.6,26.7,EP_AR+residual+RMSNorm(fused)(cross):25.1μs | q/k_norm_RMSNorm(cross):1.6μs,,,,
3,Attention,q/k_norm_RMSNorm,flashinfer::norm::RMSNormKernel<...>,27,3.6,3.1,"other:void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, 256, 16>(__nv(cross):1.6μs | q/k_norm_RMSNorm(cross):1.5μs",,,,
4,Attention,q/k_norm_RMSNorm,flashinfer::norm::RMSNormKernel<...>,470,2.3,1.5,q/k_norm_RMSNorm(cross):1.5μs,,,,
5,Attention,q_b_proj_GEMM,nvjet_tst_24x64_64x16_4x1_v_bz_TNN,27,6.6,2.0,uk_gemm(K_expansion)(cross):2.0μs,,,,
6,Attention,uk_gemm(K_expansion),nvjet_tst_64x8_64x16_4x1_v_bz_TNT,stream 27 27_overlap,4.2,2.0,q_b_proj_GEMM(cross):2.0μs,,,,
7,Attention,RoPE+KV_cache_write,flashinfer::RopeQuantizeKernel<...>,27,2.4,0,,,,,
8,Attention,set_mla_kv,set_mla_kv_buffer_kernel,27,1.6,0,,,,,
9,Attention,Attention(FMHA),fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseP64MultiCtasKvVarSeqQ16K,stream 27 27_overlap,13.3,0.4,q_b_proj_GEMM(cross):0.4μs,,,,
10,Attention,q_b_proj_GEMM,nvjet_tst_16x64_64x16_4x1_v_bz_TNN,27,3.9,0.4,Attention(FMHA)(cross):0.4μs,,,,
11,Proj,o_proj_quant(BF16→FP4),cvt_fp16_to_fp4<...>,27,1.9,0,,,,,
12,Proj,o_proj_GEMM,_ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloa,27,6.6,0.1,EP_AR+residual+RMSNorm(fused)(cross):0.2μs,,,,
