B200_Operator,B200_Raw_Kernel,B200_Stream,B200_Avg_us,B200_Overlap_us,B200_Overlap_With,MI355X_Module,MI355X_Kernel,MI355X_Avg_us,Notes
EP_AR+residual+RMSNorm(fused),flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<...,27,26.7,25.1,"other:void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, 256, 16>(__nv(cross):25.1μs",input_layernorm,"void aiter::reduce_scatter_cross_device_store<std::bfloat16_t, 8>(aiter::RankData*, aiter::RankSignals, aiter::Signal*, int, int)",17.31,
,,,,,,,"void aiter::local_device_load_rmsnorm<std::bfloat16_t, 512, 2>(aiter::RankSignals, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, float, int, int, int)",6.53,MI355X only (comm_pre_attn)
,,,,,,per_token_quant_hip,"void aiter::dynamic_per_token_scaled_quant_kernel<std::bfloat16_t, _BitInt(8), 32>(_BitInt(8)*, float*, std::bfloat16_t*, float const*, int, int const*, int)",6.20,MI355X only (mla_input_quant)
,,,,,,gemm_a8w8_bpreshuffle,"void ck::kernel_gemm_xdl_cshuffle_v3_multi_d_b_preshuffle<ck::GridwiseGemmMultiD_xdl_cshuffle_v3_b_preshuffle<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor>, ck::tensor_layout::gemm::RowMajor, ck::f8_fnuz_t, ck::f8_fnuz_t, float, float, ck::Tuple<float, float>, unsigned short, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, MultiplyMultiply, (ck::tensor_operation::device::GemmSpecialization)0, 128, 16, 32, 512, 16, 16, 16, 16, 1, 1, ck::Sequence<32, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, ck::Sequence<32, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, 1, 1, ck::Sequence<1, 16, 1, 8>, ck::Sequence<4, 4, 1>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)0, ck::f8_fnuz_t, ck::f8_fnuz_t, ck::f8_fnuz_t, ck::f8_fnuz_t>, true, (ck::InMemoryDataOperationEnum)0, 2, (ck::TailNumber)1>(ck::GridwiseGemmMultiD_xdl_cshuffle_v3_b_preshuffle<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor>, ck::tensor_layout::gemm::RowMajor, ck::f8_fnuz_t, ck::f8_fnuz_t, float, float, ck::Tuple<float, float>, unsigned short, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, MultiplyMultiply, (ck::tensor_operation::device::GemmSpecialization)0, 128, 16, 32, 512, 16, 16, 16, 16, 1, 1, ck::Sequence<32, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, ck::Sequence<32, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, 1, 1, ck::Sequence<1, 16, 1, 8>, ck::Sequence<4, 4, 1>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)0, ck::f8_fnuz_t, ck::f8_fnuz_t, ck::f8_fnuz_t, ck::f8_fnuz_t>::Argument)",11.90,MI355X only (mla_qkv_a)
q/k_norm_RMSNorm,flashinfer::norm::RMSNormKernel<...>,27,3.6,3.1,"other:void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, 256, 16>(__nv(cross):1.6μs | q/k_norm_RMSNorm(cross):1.5μs",,,,B200 only
q/k_norm_RMSNorm,flashinfer::norm::RMSNormKernel<...>,470,2.3,1.5,q/k_norm_RMSNorm(cross):1.5μs,,,,B200 only
q_b_proj_GEMM,nvjet_tst_24x64_64x16_4x1_v_bz_TNN,27,6.6,2.0,uk_gemm(K_expansion)(cross):2.0μs,q_proj_and_k_up_proj,"void ck::kernel_gemm_xdl_cshuffle_v3_multi_d_b_preshuffle<ck::GridwiseGemmMultiD_xdl_cshuffle_v3_b_preshuffle<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor>, ck::tensor_layout::gemm::RowMajor, ck::f8_fnuz_t, ck::f8_fnuz_t, float, float, ck::Tuple<float, float>, unsigned short, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, MultiplyMultiply, (ck::tensor_operation::device::GemmSpecialization)0, 128, 32, 16, 512, 16, 16, 16, 16, 1, 1, ck::Sequence<32, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, ck::Sequence<32, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, 1, 1, ck::Sequence<1, 32, 1, 4>, ck::Sequence<4, 4, 1>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)0, ck::f8_fnuz_t, ck::f8_fnuz_t, ck::f8_fnuz_t, ck::f8_fnuz_t>, true, (ck::InMemoryDataOperationEnum)0, 2, (ck::TailNumber)0>(ck::GridwiseGemmMultiD_xdl_cshuffle_v3_b_preshuffle<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor>, ck::tensor_layout::gemm::RowMajor, ck::f8_fnuz_t, ck::f8_fnuz_t, float, float, ck::Tuple<float, float>, unsigned short, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, MultiplyMultiply, (ck::tensor_operation::device::GemmSpecialization)0, 128, 32, 16, 512, 16, 16, 16, 16, 1, 1, ck::Sequence<32, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, ck::Sequence<32, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, 1, 1, ck::Sequence<1, 32, 1, 4>, ck::Sequence<4, 4, 1>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)0, ck::f8_fnuz_t, ck::f8_fnuz_t, ck::f8_fnuz_t, ck::f8_fnuz_t>::Argument)",6.28,
uk_gemm(K_expansion),nvjet_tst_64x8_64x16_4x1_v_bz_TNT,stream 27 27_overlap,4.2,2.0,q_b_proj_GEMM(cross):2.0μs,,_batched_gemm_a8w8_a_per_token_group_prequant_w_per_batched_tensor_quant_kernel_HAS_BIAS_0_BLOCK_SIZE_M_32_BLOCK_SIZE_N_128_BLOCK_SIZE_K_128_GROUP_SIZE_M_1_EVEN_K_1_EVEN_MN_1_cache_modifier_CG,6.37,
q_b_proj_GEMM,nvjet_tst_16x64_64x16_4x1_v_bz_TNN,27,3.9,0.4,Attention(FMHA)(cross):0.4μs,,,,B200 only
RoPE+KV_cache_write,flashinfer::RopeQuantizeKernel<...>,27,2.4,0.0,,rope_and_kv_cache,"void aiter::fuse_qk_rope_concat_and_cache_mla_per_head_kernel<std::bfloat16_t, _BitInt(8), _BitInt(8), (vllm::Fp8KVCacheDataType)1, (vllm::Fp8KVCacheDataType)1, 8>(std::bfloat16_t const*, std::bfloat16_t const*, std::bfloat16_t const*, std::bfloat16_t const*, _BitInt(8)*, _BitInt(8)*, long const*, long const*, std::bfloat16_t const*, std::bfloat16_t const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, float const*, float const*, bool, bool)",6.21,
