B200_Operator,B200_Raw_Kernel,B200_Stream,B200_Avg_us,B200_Overlap_us,B200_Overlap_With,MI355X_Module,MI355X_Kernel,MI355X_Avg_us,Notes
down_GEMM,bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x16x512u2_s5_et128x16_m128x16x64_cga1x1,470,9.9,3.7,shared_GEMM(FP4)(cross):3.6μs | other:void moe::dev::finalize::finalizeKernel<moe::dev::finalize::(cross):0.4μs | gate_up_GEMM(+SwiGLU)(cross):0.3μs,,,,
other:void moe::dev::finalize::finalizeKernel<moe::dev::finalize::,moe::dev::finalize::finalizeKernel<...>,stream 470 470_overlap,2.9,1.0,down_GEMM(cross):0.4μs,,,,
residual_add,at::native::vectorized_elementwise_kernel<...>,27,1.7,0.0,,,,,B200 only

B200 TOTAL (kernel_sum),,,183.4,,,MI355X TOTAL,,201.82,
B200 Walltime,,,122.1,,,,,,
B200 Overlap,,,61.0,,,,,,61.0us overlap = 33.3% of kernel sum

,Silicon NV,Silicon AMD,,,,,,,
PASS,B200,MI355X,gap,NV_Kernels,AMD_Kernels,,,,
EP_AR_before_MHA,26.7,19.68,-7.0,flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<...,"void aiter::reduce_scatter_cross_device_store<std::bfloat16_t, 8>(aiter::RankData*, aiter::RankSignals, aiter::Signal*, int, int)
void aiter::local_device_load_rmsnorm<std::bfloat16_t, 512, 2>(aiter::RankSignals, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, float, int, int, int)",,,,
MHA,37.9,88.63,+50.7,"flashinfer::norm::RMSNormKernel<...>
flashinfer::norm::RMSNormKernel<...>
nvjet_tst_24x64_64x16_4x1_v_bz_TNN
nvjet_tst_64x8_64x16_4x1_v_bz_TNT
flashinfer::RopeQuantizeKernel<...>
set_mla_kv_buffer_kernel
fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseP64MultiCtasKvVarSeqQ16K
nvjet_tst_16x64_64x16_4x1_v_bz_TNN","aiter::bf16gemm_fp32bf16_tn_32x64_splitk_clean
void aiter::add_rmsnorm_quant_kernel<std::bfloat16_t, std::bfloat16_t, 256, 8, false, false, true, 1>(std::bfloat16_t*, std::bfloat16_t*, float*, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, double, int, int, int, int, int, int, int, bool)
void aiter::add_rmsnorm_quant_kernel<std::bfloat16_t, std::bfloat16_t, 64, 8, false, false, true, 1>(std::bfloat16_t*, std::bfloat16_t*, float*, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, double, int, int, int, int, int, int, int, bool)
aiter::bf16gemm_fp32bf16_tn_64x64_splitk_clean
_batched_gemm_a8w8_a_per_token_group_prequant_w_per_batched_tensor_quant_kernel_HAS_BIAS_0_BLOCK_SIZE_M_16_BLOCK_SIZE_N_128_BLOCK_SIZE_K_128_GROUP_SIZE_M_1_EVEN_K_1_EVEN_MN_0_cache_modifier_CG
void aiter::fuse_qk_rope_concat_and_cache_mla_per_head_kernel<std::bfloat16_t, _BitInt(8), _BitInt(8), (vllm::Fp8KVCacheDataType)1, (vllm::Fp8KVCacheDataType)1, 8>(std::bfloat16_t const*, std::bfloat16_t const*, std::bfloat16_t const*, std::bfloat16_t const*, _BitInt(8)*, _BitInt(8)*, long const*, long const*, std::bfloat16_t const*, std::bfloat16_t const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, float const*, float const*, bool, bool)
aiter::mla_a8w8_qh16_qseqlen1_gqaratio16_ps
void kn_mla_reduce_v1_ps<MlaReduceKernelV1Traits<512, 16, 1>, float, std::bfloat16_t>(MlaReduceKernelV1Params)
_batched_gemm_a8w8_a_per_token_group_prequant_w_per_batched_tensor_quant_kernel_HAS_BIAS_0_BLOCK_SIZE_M_16_BLOCK_SIZE_N_32_BLOCK_SIZE_K_128_GROUP_SIZE_M_1_EVEN_K_1_EVEN_MN_0_cache_modifier_CG
aiter::bf16gemm_fp32bf16_tn_32x64_splitk_clean
triton_poi_fused_as_strided_clone_copy__0",,,,
O_proj,20.3,0.00,-20.3,"cvt_fp16_to_fp4<...>
_ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloa
cvt_fp16_to_fp4<...>
_ZN7cutlass13device_kernelIN10flashinfer4gemm57DeviceGemmFp4GemmSm100___nv_bfloa",,,,,
EP_AR_before_MOE,8.8,21.57,+12.8,flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<...,"void aiter::reduce_scatter_cross_device_store<std::bfloat16_t, 8>(aiter::RankData*, aiter::RankSignals, aiter::Signal*, int, int)
void aiter::local_device_load_rmsnorm<std::bfloat16_t, 512, 2>(aiter::RankSignals, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, float, int, int, int)
triton_poi_fused_as_strided_clone_1",,,,
MOE,89.7,71.94,-17.8,"fused_a_gemm_kernel<...>
router_gemm_kernel_float_output<...>
tensorrt_llm::kernels::quantize_with_block_size<...>
moe::dev::routing::routingDeepSeek::routingMainKernel<...>
moe::dev::routing::routingDeepSeek::routingIndicesClusterKernel<...>
flashinfer::activation::act_and_mul_kernel<...>
bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x16x512u2_s5_et128x16_m128x16x64_cga1x
cvt_fp16_to_fp4<...>
_ZN7cutlass13device_kernelIN10flashinfer4gemm57DeviceGemmFp4GemmSm100___nv_bfloa
bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x16x512u2_s5_et128x16_m128x16x64_cga1x1
moe::dev::finalize::finalizeKernel<...>
at::native::vectorized_elementwise_kernel<...>","aiter::bf16gemm_fp32bf16_tn_48x64_splitk_clean
void aiter::grouped_topk_opt_sort_kernel<c10::BFloat16, float __vector(4), 8, true, true, false>(c10::BFloat16*, c10::BFloat16 const*, float*, int*, unsigned long, int, int, int, int, float)
void ck_tile::kentry<2, ck_tile::MoeSortingKernel<ck_tile::MoeSortingProblemEx<int, float, 1, true, true, false, true, 0> >, ck_tile::MoeSortingKernel<ck_tile::MoeSortingProblemEx<int, float, 1, true, true, false, true, 0> >::Kargs>(ck_tile::MoeSortingKernel<ck_tile::MoeSortingProblemEx<int, float, 1, true, true, false, true, 0> >::Kargs)
_fused_dynamic_mxfp4_quant_moe_sort_kernel
void ck::kernel_moe_mxgemm_2lds<ck::GridwiseMoeGemmMX_BPreshuffle<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::tensor_layout::gemm::RowMajor>, ck::tensor_layout::gemm::RowMajor, ck::f4x2_pk_t, ck::e8m0_bexp_t, ck::f4x2_pk_t, ck::e8m0_bexp_t, float, float, ck::Tuple<float, float, float>, unsigned short, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, MulABScaleShuffled, (ck::tensor_operation::device::GemmSpecialization)0, 32, 64, 32, 32, 128, 16, 16, 16, 16, 2, 2, ck::Sequence<8, 8, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 1, ck::Sequence<8, 8, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 1, 2, 2, ck::Sequence<1, 16, 1, 4>, ck::Sequence<8, 1, 8>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)2, 1, false, true, false, int, ck::f4x2_pk_t, ck::f4x2_pk_t>, true, (ck::InMemoryDataOperationEnum)0, 2, (ck::TailNumber)1>(ck::GridwiseMoeGemmMX_BPreshuffle<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::tensor_layout::gemm::RowMajor>, ck::tensor_layout::gemm::RowMajor, ck::f4x2_pk_t, ck::e8m0_bexp_t, ck::f4x2_pk_t, ck::e8m0_bexp_t, float, float, ck::Tuple<float, float, float>, unsigned short, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, MulABScaleShuffled, (ck::tensor_operation::device::GemmSpecialization)0, 32, 64, 32, 32, 128, 16, 16, 16, 16, 2, 2, ck::Sequence<8, 8, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 1, ck::Sequence<8, 8, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 1, 2, 2, ck::Sequence<1, 16, 1, 4>, ck::Sequence<8, 1, 8>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)2, 1, false, true, false, int, ck::f4x2_pk_t, ck::f4x2_pk_t>::Argument)
_fused_dynamic_mxfp4_quant_moe_sort_kernel
void ck::kernel_moe_mxgemm_2lds<ck::GridwiseMoeGemmMX_BPreshuffle<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::tensor_layout::gemm::RowMajor>, ck::tensor_layout::gemm::RowMajor, ck::f4x2_pk_t, ck::e8m0_bexp_t, ck::f4x2_pk_t, ck::e8m0_bexp_t, float, float, ck::Tuple<float, float, float>, unsigned short, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, MulABScaleExpertWeightShuffled, (ck::tensor_operation::device::GemmSpecialization)0, 32, 256, 32, 128, 128, 16, 16, 16, 16, 2, 2, ck::Sequence<8, 32, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 1, ck::Sequence<8, 32, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 1, 2, 2, ck::Sequence<1, 8, 1, 32>, ck::Sequence<2, 1, 2>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)2, 0, false, false, true, int, ck::f4x2_pk_t, ck::f4x2_pk_t>, true, (ck::InMemoryDataOperationEnum)1, 2, (ck::TailNumber)1>(ck::GridwiseMoeGemmMX_BPreshuffle<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::tensor_layout::gemm::RowMajor>, ck::tensor_layout::gemm::RowMajor, ck::f4x2_pk_t, ck::e8m0_bexp_t, ck::f4x2_pk_t, ck::e8m0_bexp_t, float, float, ck::Tuple<float, float, float>, unsigned short, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, MulABScaleExpertWeightShuffled, (ck::tensor_operation::device::GemmSpecialization)0, 32, 256, 32, 128, 128, 16, 16, 16, 16, 2, 2, ck::Sequence<8, 32, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 1, ck::Sequence<8, 32, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 1, 2, 2, ck::Sequence<1, 8, 1, 32>, ck::Sequence<2, 1, 2>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)2, 0, false, false, true, int, ck::f4x2_pk_t, ck::f4x2_pk_t>::Argument)",,,,

# Data Sources:,,,,,,,,,
#   B200: /home/kqian/ClaudeSkillsE2EPerf/results/b200_dsr_fp4/b200_dsr_fp4_mtp0_ep8_tp8_sglang059_profiling/layer_kernel_avg.csv,,,,,,,,,
#   MI355X: /home/kqian/ClaudeSkillsE2EPerf/results/mi355x_dsr_mxfp4/mi355x_dsr_mxfp4_mtp0_ep8_tp8_rocm711_profiling/decode_breakdown.xlsx,,,,,,,,,
# Checksum:,,,,,,,,,
#   OK: B200 sum=183.40 matches expected=183.1,,,,,,,,,
#   OK: MI355X sum=201.82 matches expected=201.82,,,,,,,,,
