timestamp,index,temperature.gpu,power.draw,memory.used,utilization.gpu
2026/04/30 00:45:45,card0,50.0,244.0,2530966576,0
2026/04/30 00:45:45,card1,46.0,241.0,2519188244,0
2026/04/30 00:45:45,card2,47.0,244.0,2535018512,0
2026/04/30 00:45:45,card3,49.0,255.0,2592324896,0
2026/04/30 00:45:45,card4,52.0,245.0,3829537668,0
2026/04/30 00:45:45,card5,51.0,247.0,3887910710,0
2026/04/30 00:45:45,card6,48.0,242.0,3900999495,0
2026/04/30 00:45:45,card7,50.0,243.0,3890652919,0
2026/04/30 00:45:45,,,,,
2026/04/30 00:45:47,card0,50.0,253.0,2530968141,0
2026/04/30 00:45:47,card1,46.0,249.0,2519189696,0
2026/04/30 00:45:47,card2,47.0,251.0,2535019986,0
2026/04/30 00:45:47,card3,49.0,257.0,2592326360,0
2026/04/30 00:45:47,card4,52.0,250.0,3829539029,0
2026/04/30 00:45:47,card5,51.0,257.0,3887912035,0
2026/04/30 00:45:47,card6,48.0,249.0,3901000874,0
2026/04/30 00:45:47,card7,50.0,251.0,3890654289,0
2026/04/30 00:45:47,,,,,
2026/04/30 00:45:50,card0,50.0,253.0,2530969188,0
2026/04/30 00:45:50,card1,46.0,249.0,2519190645,0
2026/04/30 00:45:50,card2,48.0,251.0,2535020959,0
2026/04/30 00:45:50,card3,49.0,257.0,2592327321,0
2026/04/30 00:45:50,card4,52.0,250.0,3829539953,0
2026/04/30 00:45:50,card5,51.0,257.0,3887912907,0
2026/04/30 00:45:50,card6,48.0,250.0,3901001784,0
2026/04/30 00:45:50,card7,50.0,251.0,3890655178,0
2026/04/30 00:45:50,,,,,
2026/04/30 00:45:52,card0,50.0,256.0,2530970116,0
2026/04/30 00:45:52,card1,46.0,252.0,2519191548,0
2026/04/30 00:45:52,card2,48.0,254.0,2535021850,0
2026/04/30 00:45:52,card3,49.0,260.0,2592328255,0
2026/04/30 00:45:52,card4,52.0,253.0,3829540819,0
2026/04/30 00:45:52,card5,51.0,260.0,3887913758,0
2026/04/30 00:45:52,card6,48.0,253.0,3901002684,0
2026/04/30 00:45:52,card7,50.0,254.0,3890656081,0
2026/04/30 00:45:52,,,,,
2026/04/30 00:45:54,card0,50.0,253.0,2530971622,0
2026/04/30 00:45:54,card1,46.0,249.0,2519193028,0
2026/04/30 00:45:54,card2,48.0,252.0,2535023297,0
2026/04/30 00:45:54,card3,49.0,257.0,2592329719,0
2026/04/30 00:45:54,card4,52.0,250.0,3829542274,0
2026/04/30 00:45:54,card5,51.0,256.0,3887915161,0
2026/04/30 00:45:54,card6,48.0,249.0,3901004139,0
2026/04/30 00:45:54,card7,50.0,251.0,3890657538,0
2026/04/30 00:45:54,,,,,
2026/04/30 00:45:56,card0,50.0,254.0,2530973145,0
2026/04/30 00:45:56,card1,46.0,250.0,2519194487,0
2026/04/30 00:45:56,card2,48.0,252.0,2535024710,0
2026/04/30 00:45:56,card3,49.0,258.0,2592331196,0
2026/04/30 00:45:56,card4,52.0,251.0,3829543647,0
2026/04/30 00:45:56,card5,51.0,257.0,3887916550,0
2026/04/30 00:45:56,card6,48.0,250.0,3901005531,0
2026/04/30 00:45:56,card7,50.0,251.0,3890658934,0
2026/04/30 00:45:56,,,,,
2026/04/30 00:45:58,card0,50.0,253.0,2530974136,0
2026/04/30 00:45:58,card1,46.0,249.0,2519195424,0
2026/04/30 00:45:58,card2,48.0,251.0,2535025664,0
2026/04/30 00:45:58,card3,49.0,282.0,2592332389,0
2026/04/30 00:45:58,card4,52.0,250.0,3829544556,0
2026/04/30 00:45:58,card5,51.0,257.0,3887917445,0
2026/04/30 00:45:58,card6,48.0,250.0,3901006449,0
2026/04/30 00:45:58,card7,50.0,251.0,3890659935,0
2026/04/30 00:45:58,,,,,
2026/04/30 00:46:00,card0,50.0,253.0,2530974136,0
2026/04/30 00:46:00,card1,46.0,249.0,2519195424,0
2026/04/30 00:46:00,card2,48.0,251.0,2535025664,0
2026/04/30 00:46:00,card3,49.0,297.0,2592339576,0
2026/04/30 00:46:00,card4,52.0,250.0,3829544556,0
2026/04/30 00:46:00,card5,51.0,257.0,3887917445,0
2026/04/30 00:46:00,card6,48.0,250.0,3901006449,0
2026/04/30 00:46:00,card7,50.0,251.0,3890659935,0
2026/04/30 00:46:00,,,,,
2026/04/30 00:46:02,card0,50.0,244.0,2530974136,0
2026/04/30 00:46:02,card1,46.0,241.0,2519195424,0
2026/04/30 00:46:02,card2,47.0,243.0,2535025664,0
2026/04/30 00:46:02,card3,49.0,301.0,2592351212,0
2026/04/30 00:46:02,card4,52.0,245.0,3829544556,0
2026/04/30 00:46:02,card5,51.0,247.0,3887917445,0
2026/04/30 00:46:02,card6,48.0,242.0,3901006449,0
2026/04/30 00:46:02,card7,50.0,243.0,3890659935,0
2026/04/30 00:46:02,,,,,
2026/04/30 00:46:04,card0,50.0,244.0,2530974136,0
2026/04/30 00:46:04,card1,46.0,240.0,2519195424,0
2026/04/30 00:46:04,card2,47.0,243.0,2535025664,0
2026/04/30 00:46:04,card3,49.0,308.0,2592365266,0
2026/04/30 00:46:04,card4,52.0,245.0,3829544556,0
2026/04/30 00:46:04,card5,51.0,247.0,3887917445,0
2026/04/30 00:46:04,card6,48.0,242.0,3901006449,0
2026/04/30 00:46:04,card7,50.0,243.0,3890659935,0
2026/04/30 00:46:04,,,,,
2026/04/30 00:46:07,card0,50.0,244.0,2530974136,0
2026/04/30 00:46:07,card1,46.0,241.0,2519195424,0
2026/04/30 00:46:07,card2,47.0,243.0,2535025664,0
2026/04/30 00:46:07,card3,49.0,327.0,2592377674,1
2026/04/30 00:46:07,card4,52.0,245.0,3829544556,0
2026/04/30 00:46:07,card5,51.0,247.0,3887917445,0
2026/04/30 00:46:07,card6,48.0,242.0,3901006449,0
2026/04/30 00:46:07,card7,50.0,243.0,3890659935,0
2026/04/30 00:46:07,,,,,
2026/04/30 00:46:09,card0,50.0,244.0,2530974136,0
2026/04/30 00:46:09,card1,46.0,241.0,2519195424,0
2026/04/30 00:46:09,card2,47.0,244.0,2535025664,0
2026/04/30 00:46:09,card3,49.0,300.0,2592387848,0
2026/04/30 00:46:09,card4,52.0,244.0,3829544556,0
2026/04/30 00:46:09,card5,51.0,248.0,3887917445,0
