B200_Operator,B200_Raw_Kernel,B200_Stream,B200_Avg_us,B200_Overlap_us,B200_Overlap_With,MI355X_Module,MI355X_Kernel,MI355X_Avg_us,Notes
set_mla_kv,set_mla_kv_buffer_kernel,23,1.7,0.0,,,,,B200 only
Attention(FMHA),fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseP64VarSeqQ16Kv128Persist,23,19.7,0.0,,mla_decode,aiter::mla_a8w8_qh16_qseqlen1_gqaratio16_ps,26.06,
,,,,,,,"void kn_mla_reduce_v1_ps<MlaReduceKernelV1Traits<512, 16, 1>, float, std::bfloat16_t>(MlaReduceKernelV1Params)",5.89,MI355X only (mla_attn)
uv_gemm(V_expansion),nvjet_tst_64x32_64x16_2x2_2cta_h_bz_TNT,23,3.9,0.0,,v_up_proj_and_o_proj,_batched_gemm_a8w8_a_per_token_group_prequant_w_per_batched_tensor_quant_kernel_HAS_BIAS_0_BLOCK_SIZE_M_32_BLOCK_SIZE_N_64_BLOCK_SIZE_K_128_GROUP_SIZE_M_1_EVEN_K_1_EVEN_MN_1_cache_modifier_CG,5.91,
o_proj_quant(BF16→FP4),cvt_fp16_to_fp4<...>,23,2.2,0.0,,per_token_quant_hip,_ZN5aiter37dynamic_per_token_scaled_quant_kernelIDF16bDB8_Li16EEEvPT0_PfPT_PKfiPKii,4.24,
o_proj_GEMM,_ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloa,23,9.5,0.0,EP_AR+residual+RMSNorm(fused)(pdl):0.2μs,v_up_proj_and_o_proj,_ZN7ck_tile6kentryILi2ENS_12FlatmmKernelINS_33GemmSpatiallyLocalTilePartitionerINS_13TileGemmShapeINS_8sequenceIJLi32ELi64ELi512EEEENS4_IJLi1ELi4ELi1EEEENS4_IJLi16ELi16ELi128EEEELb0ELb0EEELi8ELi4EEENS_30FlatmmPipelineAGmemBGmemCRegV1INS_21FlatmmPipelineProblemIDB8_SC_fS8_NS_23TileGemmUniversalTraitsILb0ELb0ELb0ELb0ENS_13tensor_layout4gemm8RowMajorENSF_11ColumnMajorESG_Lb0ELb0ELb0ELi1ELb1ELi16EEELNS_21GemmPipelineSchedulerE0ELb1ELNS_10TailNumberE1ELNS_25amd_buffer_coherence_enumE0ELb0ESC_EENS_35UniversalFlatmmPipelineAgBgCrPolicyEEENS_16CShuffleEpilogueINS_23CShuffleEpilogueProblemISC_SC_NS_5tupleIJEEEfDF16bSS_SG_NS_12element_wise11PassThroughELi32ELi64ELi1ELi4ELi16ELi16ELi128ELb0ELi1ELb0ELi1ELb0ELi1ELb0EEEvEEEEJNS_16FlatmmKernelArgsINS_18FlatmmScalePointerILi1ELi0EfEES10_Li0EEEEEEvDpT1_,11.27,
EP_AR+residual+RMSNorm(fused),flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<...,23,11.0,9.2,router_GEMM(dual_stream):9.2μs | o_proj_GEMM(pdl):0.2μs,post_attn_layernorm,"void aiter::reduce_scatter_cross_device_store<std::bfloat16_t, 4>(aiter::RankData*, aiter::RankSignals, aiter::Signal*, int, int)",13.04,
,,,,,,,"void aiter::local_device_load_rmsnorm<std::bfloat16_t, 512, 2>(aiter::RankSignals, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, float, int, int, int)",4.47,MI355X only (comm_pre_moe)
router_GEMM,nvjet_tst_64x32_64x16_2x2_2cta_h_bz_splitK_TNT,385,13.5,12.9,EP_AR+residual+RMSNorm(fused)(dual_stream):9.2μs | shared_quant(BF16→FP4)(dual_stream):2.5μs | router_splitK_reduce(pdl):1.4μs | shared_GEMM(FP4)(dual_stream):1.2μs,gemm_a16w16,aiter::bf16gemm_fp32bf16_tn_64x64_splitk_clean,8.30,
router_splitK_reduce,cublasLt::splitKreduce_kernel<...>,385,3.6,3.5,shared_GEMM(FP4)(dual_stream):3.4μs | router_GEMM(pdl):1.4μs | MoE_input_quant(BF16→FP4)(pdl):1.4μs | shared_quant(BF16→FP4)(dual_stream):0.3μs,,,,B200 only
