module,operator,avg_us,pct,module_elapsed_us,avg_count,total_us,n_layers,kernel_names
comm_norm,comm: lamport_AR+RMSNorm,23.49,6.8,23.49,2.00,103595.7,4410,"void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 4, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)"
qkv_proj,qkv_proj: qkv_a_proj_GEMM,19.37,5.6,34.04,1.00,85442.2,4410,nvjet_sm100_tst_64x32_64x16_2x1_2cta_v_bz_splitK_TNT
qkv_proj,qkv_proj: q_b_proj_GEMM,6.42,1.9,,1.00,28334.0,4410,nvjet_sm100_tst_48x64_64x15_4x1_v_bz_TNN
qkv_proj,qkv_proj: q/k_norm_RMSNorm,5.54,1.6,,2.00,24421.4,4410,"void flashinfer::norm::RMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)"
qkv_proj,qkv_proj: uk_gemm,4.44,1.3,,1.00,19592.8,4410,nvjet_sm100_tst_128x64_64x8_4x1_v_bz_TNT
qkv_proj,qkv_proj: qkv_a_splitK_reduce,3.72,1.1,,1.00,16403.2,4410,"void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, __nv_bfloat16, false, float, __nv_bfloat16, __nv_bfloat16, true, false, false, false>(cublasLt::cublasSplitKParams<float>, float const*, __nv_bfloat16 const*, float*, __nv_bfloat16*, float const*, float const*, __nv_bfloat16 const*, float const*, __nv_bfloat16*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)"
rope_attn,rope_attn: Attention_FMHA,20.50,5.9,24.90,1.00,90414.9,4410,fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseP64VarSeqQ16Kv128PersistentSwapsAbForGen
rope_attn,rope_attn: RoPE+KV_write,2.72,0.8,,1.00,11978.7,4410,"void flashinfer::RopeQuantizeKernel<true, 16u, 1u, __nv_bfloat16, long, __nv_fp8_e4m3>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, __nv_fp8_e4m3*, __nv_fp8_e4m3*, __nv_fp8_e4m3*, __nv_fp8_e4m3*, float*, long*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, float, float)"
rope_attn,rope_attn: set_mla_kv,1.68,0.5,,1.00,7422.8,4410,set_mla_kv_buffer_kernel
out_proj,out_proj/shared: FP4_GEMM,11.17,3.2,17.27,1.00,49269.0,4410,_ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloat16_128_256_256_2_4_1_2SM12Sm10x11xOnlyINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS5_10collective13CollectiveMmaINS5_46MainloopSm100TmaUmmaWarpSpecializedBlockScaledILi5ELi2ELi1ENS9_IJiiNS8_1CILi1EEEEEEEENS9_IJNSE_ILi256EEESI_SI_EEENS9_IJNS_12float_e2m1_tENS_13float_ue4m3_tEEEENS9_IJNS9_IJlSF_lEEENS8_6LayoutINS9_IJNS9_IJNS9_IJNSE_ILi32EEENSE_ILi4EEEEEEiEEENS9_IJNS9_IJNSE_ILi16EEESQ_EEEiEEENS9_IJSF_iEEEEEENS9_IJSV_NS9_IJNS9_IJNSE_ILi0EEESF_EEENSE_ILi512EEEEEENS9_IJSY_iEEEEEEEEEEESM_S15_NS8_8TiledMMAINS8_8MMA_AtomIJNS8_23SM100_MMA_MXF4_2x1SM_SSISK_SK_fSL_Li256ELi256ELi16ELNS8_4UMMA5MajorE0ELS1A_0ELNS19_7ScaleInE0ELS1B_0EEEEEENSO_INS9_IJSF_SF_SF_EEENS9_IJSY_SY_SY_EEEEENS9_IJNS8_10UnderscoreES1H_S1H_EEEEENS9_IJNS8_28SM100_TMA_2SM_LOAD_MULTICASTES1K_EEENS9_IJNS8_14ComposedLayoutINS8_7SwizzleILi3ELi4ELi3EEENS8_18smem_ptr_flag_bitsILi4EEENSO_INS9_IJNSE_ILi8EEESI_EEENS9_IJSI_SF_EEEEEEENSO_INS9_IJNS9_IJNS9_IJSR_SF_EEESU_EEESF_NS9_IJSF_SQ_EEEEEENS9_IJNS9_IJNS9_IJSU_S10_EEESZ_EEESY_NS9_IJSQ_S10_EEEEEEEEEEEvNS8_8identityES1L_NS9_IJS1V_NSO_INS9_IJNS9_IJNS9_IJSR_NSE_ILi2EEEEEESU_EEESF_S1Y_EEENS9_IJS21_SY_NS9_IJSQ_NSE_ILi1024EEEEEEEEEEEEEEvS26_EENS_8epilogue10collective18CollectiveEpilogueINS2H_23Sm100TmaWarpSpecializedILi4ELi2ELi64ELb0ELb1EEEJNS9_IJNSE_ILi128EEESI_SI_EEENS9_IJS2M_NSE_ILi64EEEEEEvSN_NS_10bfloat16_tESN_NS2H_6fusion15FusionCallbacksIS2L_NS2R_17LinearCombinationIS2Q_fvfLNS_15FloatRoundStyleE2EEES2N_S2P_JEEENS8_5SM1004TMEM4LOAD26SM100_TMEM_LOAD_32dp32b64xENS8_13SM90_TMA_LOADENS1M_IS1O_NS1P_ILi16EEENSO_INS9_IJS1R_S2O_EEENS9_IJS2O_SF_EEEEEEENS8_39AutoVectorizingCopyWithAssumedAlignmentILi128EEENS8_14SM90_TMA_STOREES36_S38_S38_EEENS5_19PersistentSchedulerEvEEEEEEvNT_6ParamsE
