#,B200_Module,B200_Operator,B200_Raw_Kernel,B200_Stream,B200_Avg_us,B200_Overlap_us,B200_Overlap_With,MI355X_Module,MI355X_Kernel,MI355X_Avg_us,Notes
26,Shared_Exp,shared_GEMM(FP4),_ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloa,23,9.4,9.7,down_GEMM(dual_stream):9.8μs | gate_up_GEMM(+SwiGLU)(dual_stream):3.1μs,,,,
27,MoE_Expert,down_GEMM,bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256u2_s6_et128x8_m128x8x64_cga1x1x1_,385,66.4,6.8,shared_GEMM(FP4)(dual_stream):9.8μs | MoE_finalize+residual(pdl):0.5μs | gate_up_GEMM(+SwiGLU)(pdl):0.4μs,,,,
28,MoE_Expert,MoE_finalize+residual,moe::dev::finalize::finalizeKernelVecLoad<...>,385,8.2,2.1,down_GEMM(pdl):0.5μs,,,,
29,Residual,residual_add,at::native::vectorized_elementwise_kernel<...>,23,2.1,0,,,,,

,,B200 TOTAL (kernel_sum),,,346.8,,,,MI355X TOTAL,,
,,B200 Walltime,,,285.3,,,,,,
,,B200 Overlap,,,61.6,,,,,,

,,PASS,,B200,MI355X,gap,,NV_Kernels,AMD_Kernels,,
,,MOE,,240.6,,,,,,,
,,MHA,,68.5,,,,,,,
,,O_proj,,13.3,,,,,,,
,,EP_AR_before_MHA,,13.5,,,,,,,
,,EP_AR_before_MOE,,10.4,,,,,,,
