timestamp,index,temperature.gpu,power.draw,memory.used,utilization.gpu
2026/03/30 09:20:11,card0,48.0,243.0,3853848106,0
2026/03/30 09:20:11,card1,45.0,240.0,3851685541,0
2026/03/30 09:20:11,card2,46.0,243.0,3853355073,0
2026/03/30 09:20:11,card3,48.0,247.0,3881764186,0
2026/03/30 09:20:11,card4,50.0,243.0,2636444360,0
2026/03/30 09:20:11,card5,49.0,247.0,2631354614,0
2026/03/30 09:20:11,card6,47.0,241.0,2645376418,0
2026/03/30 09:20:11,card7,49.0,242.0,2633501515,0
2026/03/30 09:20:11,,,,,
2026/03/30 09:20:13,card0,48.0,252.0,3853849379,0
2026/03/30 09:20:13,card1,45.0,248.0,3851686868,0
2026/03/30 09:20:13,card2,46.0,250.0,3853356432,0
2026/03/30 09:20:13,card3,48.0,256.0,3881765437,0
2026/03/30 09:20:13,card4,50.0,250.0,2636445751,0
2026/03/30 09:20:13,card5,49.0,255.0,2631355968,0
2026/03/30 09:20:13,card6,47.0,248.0,2645377806,0
2026/03/30 09:20:13,card7,49.0,249.0,2633502886,0
2026/03/30 09:20:13,,,,,
2026/03/30 09:20:15,card0,49.0,252.0,3853849379,0
2026/03/30 09:20:15,card1,45.0,248.0,3851686868,0
2026/03/30 09:20:15,card2,46.0,250.0,3853356432,0
2026/03/30 09:20:15,card3,48.0,256.0,3881765437,0
2026/03/30 09:20:15,card4,50.0,250.0,2636445751,0
2026/03/30 09:20:15,card5,49.0,255.0,2631355968,0
2026/03/30 09:20:15,card6,47.0,248.0,2645377806,0
2026/03/30 09:20:15,card7,49.0,249.0,2633502886,0
2026/03/30 09:20:15,,,,,
2026/03/30 09:20:17,card0,49.0,252.0,3853850750,0
2026/03/30 09:20:17,card1,45.0,248.0,3851688291,0
2026/03/30 09:20:17,card2,46.0,250.0,3853357865,0
2026/03/30 09:20:17,card3,48.0,255.0,3881766765,0
2026/03/30 09:20:17,card4,50.0,249.0,2636447078,0
2026/03/30 09:20:17,card5,49.0,255.0,2631357227,0
2026/03/30 09:20:17,card6,47.0,248.0,2645379192,0
2026/03/30 09:20:17,card7,49.0,249.0,2633504248,0
2026/03/30 09:20:17,,,,,
2026/03/30 09:20:19,card0,49.0,252.0,3853850750,0
2026/03/30 09:20:19,card1,45.0,248.0,3851688291,0
2026/03/30 09:20:19,card2,46.0,250.0,3853357865,0
2026/03/30 09:20:19,card3,48.0,256.0,3881766765,0
2026/03/30 09:20:19,card4,50.0,249.0,2636447078,0
2026/03/30 09:20:19,card5,49.0,255.0,2631357227,0
2026/03/30 09:20:19,card6,47.0,248.0,2645379192,0
2026/03/30 09:20:19,card7,49.0,249.0,2633504248,0
2026/03/30 09:20:19,,,,,
2026/03/30 09:20:21,card0,49.0,252.0,3853856428,0
2026/03/30 09:20:21,card1,45.0,248.0,3851693641,0
2026/03/30 09:20:21,card2,46.0,250.0,3853363301,0
2026/03/30 09:20:21,card3,48.0,255.0,3881772194,0
2026/03/30 09:20:21,card4,50.0,249.0,2636452672,0
2026/03/30 09:20:21,card5,49.0,255.0,2631362578,0
2026/03/30 09:20:21,card6,47.0,248.0,2645384527,0
2026/03/30 09:20:21,card7,49.0,249.0,2633509681,0
2026/03/30 09:20:21,,,,,
2026/03/30 09:20:23,card0,49.0,252.0,3853857366,0
2026/03/30 09:20:23,card1,45.0,248.0,3851694500,0
2026/03/30 09:20:23,card2,46.0,250.0,3853364152,0
2026/03/30 09:20:23,card3,48.0,255.0,3881773070,0
2026/03/30 09:20:23,card4,50.0,249.0,2636453532,0
2026/03/30 09:20:23,card5,49.0,255.0,2631363415,0
2026/03/30 09:20:23,card6,47.0,248.0,2645385371,0
2026/03/30 09:20:23,card7,49.0,249.0,2633510554,0
2026/03/30 09:20:23,,,,,
2026/03/30 09:20:25,card0,49.0,301.0,3853864845,0
2026/03/30 09:20:25,card1,45.0,295.0,3851702020,0
2026/03/30 09:20:25,card2,46.0,300.0,3853371454,0
2026/03/30 09:20:25,card3,48.0,303.0,3881780234,0
2026/03/30 09:20:25,card4,50.0,273.0,2636462976,0
2026/03/30 09:20:25,card5,49.0,278.0,2631372643,0
2026/03/30 09:20:25,card6,47.0,271.0,2645394575,0
2026/03/30 09:20:25,card7,49.0,271.0,2633519738,0
2026/03/30 09:20:25,,,,,
2026/03/30 09:20:28,card0,49.0,296.0,3853886488,0
2026/03/30 09:20:28,card1,46.0,292.0,3851723279,0
2026/03/30 09:20:28,card2,47.0,296.0,3853393100,0
2026/03/30 09:20:28,card3,48.0,299.0,3881801300,0
2026/03/30 09:20:28,card4,51.0,249.0,2636488117,0
2026/03/30 09:20:28,card5,49.0,255.0,2631397648,0
2026/03/30 09:20:28,card6,47.0,248.0,2645419731,0
2026/03/30 09:20:28,card7,49.0,249.0,2633544321,0
2026/03/30 09:20:28,,,,,
2026/03/30 09:20:30,card0,49.0,298.0,3853918750,0
2026/03/30 09:20:30,card1,46.0,296.0,3851750427,0
2026/03/30 09:20:30,card2,47.0,297.0,3853424539,0
2026/03/30 09:20:30,card3,48.0,302.0,3881827411,0
